start	end	text
0	2040	被發失敗怎麼不找找自己問題
2040	2960	你遇到途程
2960	4360	你也找自己問題好不好
4360	5640	你的親子碰到吵枕
5640	6760	你也找自己問題好不好
6760	8320	你遇到計畫素皮都沒得吃
8320	9480	也找你自己問題好不好
9480	10920	為什麼不安逆就吵你家
10920	12800	為什麼就你家三代都被找中靈呢
12800	14280	為什麼你的命就不值錢呢
14280	15680	全部找自己問題好不好
15680	16920	為什麼你母家可歸呢
16920	18360	為什麼你一會怎麼看罵的
18360	20040	辛苦一輩子七一禮子散
20040	20760	生無風吻
20760	21760	盯太流離課室
21760	22200	踏下
22200	23600	你要找自己問題好不好
23600	25440	你媽的個 ***你媽的
25440	26400	什麼都找自己問題
26400	27280	找自己問題
27280	28240	父親看似失敗
28240	29040	你的找自己問題
29040	31000	你媽我留官章中期搞瘋談
31000	32200	怎麼找自己問題
32200	33200	你告訴我
33200	34640	我能怎麼贏過董中山
34640	35800	赤已經完成兩部了
35800	36720	金周一周
36720	38240	漢中接得了主公之手
38240	39480	官章兩人脾氣輸了
39480	40440	多少赤了都不敢
40440	41520	一個死了金周
41520	42480	一個打敗軍事
42480	43200	我能怎麼辦
43200	43720	好吧
43720	44280	最後搞的
44280	45560	劉備又要去打東午
45560	46840	這不打敗反而搞瘋嗎
46840	47600	你告訴我
47600	48400	怎麼打
48400	49760	然後陸續笑得跟個瘋撥
49760	51120	哎呀
51120	52800	然後陸軍的那位婆少年贏
52800	53640	哎呀
53640	54640	少什麼
54640	56800	然後陸軍就在沒偶爾痛太痛了
56800	57600	就在門打團
57600	58760	你告訴我怎麼贏
59240	60880	最後留個阿抖給我怎麼贏
60880	61920	不玩到死
61920	62720	贏到死
62720	63720	最後那個病程
63720	65200	還在那邊跟阿抖講
65720	66640	哎呀
66640	67760	就給他有參議
67760	68160	這句
68160	69440	糾光不搞過煩啊
70120	71080	他媽的
71080	72600	其三局是他
72600	73880	我前線打得這麼好
73880	74560	但他碰出來
74560	75200	這麼一句話
75200	76720	阿就給他有參議
76720	77440	你媽的
77440	77560	個
77560	78520	他媽的
78520	79680	你告訴我怎麼贏
79680	79960	啊
79960	81080	我只能暫死
81080	82280	我不能像毛總樣
82280	84040	他媽的高官後面混日子
84040	84640	懂嗎
84640	85800	我是就隔肯明
85800	86920	我只能暫死
86920	88720	我要完成的是先第1位
88760	90200	就是要復刑汗刺
90200	90960	只能暫死
90960	91520	不能死的
91520	91920	活當了
91920	92480	懂不懂
