start	end	text
0	2400	Depsyc的主歌王詐玩法直接封神
2400	3920	E.J.J.J.丟弱勃
3920	4840	自動生成王詐
4840	6120	用Depsy來做王詐
6120	7320	簡直是逆天的存在
7320	8520	一分鐘即可生成
8520	9520	直接打開Depsyc
9520	10920	告訴他你想做什麼王詐
10920	12920	比如我想做個前車電商王詐
12920	14400	大家可以參考這個提問格式
14400	16600	讓Depsy幫我們描述一下王詐的細節
16600	17560	然後直接複製
18200	18920	打開丟弱勃
18920	20440	打剛剛的提示詞說進去
20440	21840	AI機會自動只行命令
21840	23520	30秒就生成一個電商王詐
23520	24640	它會自動完成拍板
24640	26320	然後你只需要把你的商品圖片
26320	27160	替換進去就好了
27160	27800	無需淡馬
27800	28600	小白就能做
28600	30160	給別人做王詐這個好門路
30160	31600	而且生成效果非常儘硬
31600	32960	2.Depsy加長鏡
32960	33920	P-2製作視頻
33920	34800	僅需60秒
34800	36880	就可以用Depsy做一個數字人視頻
36880	37960	可以生成各種形象
37960	39240	主播、品牌、代言人
39240	40600	健身教練、外國人都可以
40600	42440	我們先用Depsyc來生成提示詞
42440	44120	我想要AI做一個健身女教練
44120	45040	代獲的數字人
45040	46720	按我生成人用細節的提示詞
46720	47600	背景的提示詞
47600	48800	以及詩詩的提示詞
48800	50440	複製下Depsyc給的提示詞
50440	51200	打開長鏡
51200	52440	這個是長媽媽他們家的
52440	53480	可以免費生成
53480	54680	把三段提示詞分別
54680	55320	這樣貼進去
55320	56200	點擊生成後
56200	57600	選擇一個喜歡的數字人
57600	58680	生成數字人動作
58680	59520	來看一下效果
59520	62240	我這件魚家服穿起來一點都不緊繃
62240	63280	很有彈力
63280	64760	面料非常舒服
64760	65720	有侵害有動作
65720	66880	能說出整句台詞
66880	68640	說話動作表情都可以控制
68640	70200	這做短視頻的成本就更低了
70200	71680	很適合代獲或者做IP
71680	73440	3.Depsy加依丟下去
73440	74920	一件生成3D建模
74920	76640	Depsy還可以用來做3D建模
76640	77840	而且方法非常簡單
77840	79600	我們先讓Depsy根據我們的需求
79600	80400	生成提示詞
80400	81720	大家可以參考這條公式
82440	83840	讓我們生成提示詞
84840	86000	然後打開Edeal Grabe
86000	87240	點擊這個圖片生成
87240	89440	把剛剛生成的提示詞放進去
89440	90840	點擊生成
90840	92840	選擇一張喜歡的圖片
93840	95040	最後我們打開曲譜
95040	97040	把剛剛的圖片傳上去點擊生成
97040	98240	3D建模就搞定了
98240	99040	來看一下效果
99040	100640	全程不到1分鐘
101440	103040	4.Depsy加一面劇卡
103040	104040	自動生成APP
104040	104840	你敢相信嗎
104840	106440	Depsy竟然能試試APP了
106440	107440	1分鐘將會你
107440	108640	首先創建APP
108640	110640	先想像你想做的APP是什麼樣的
110640	111840	我們直接打開Depsy
111840	113440	以及我想做一個美食的APP
113440	114840	因為我可以上傳自己的美食
114840	115640	並互相互動
115640	117440	可以幫我下期描述一下這個APP嗎
117440	118640	OK我們直接複製
118640	119640	打開一面劇卡
119640	121440	把剛剛的內容站在進去
121440	122240	點擊生成
122240	123040	然後就OK了
123040	125440	你可以隨意調整CAPP的樣式
125440	127440	以後做APP可能就不用學代碼了
127440	128640	直接輸入文字記合
128640	129640	不管你是什麼職業
