start	end	text
0	4000	大家好,我是小谷银,这节课讲解时间复杂度,
4000	9000	时间复杂度定性的描述算法的运行时间。
9000	12000	接下来我们来看一下两个函数,
12000	17000	首先是函数FUNC1,函数FUNC1里面有两条语句,
17000	20000	如果调用一次函数FUNC1的话,
20000	25000	现在我们需要思考一下这两条语句分别会执行多少次。
25000	28000	根据多年来的编程经验告诉我,
28000	31000	这两条语句分别执行了一次,
31000	36000	也就是这个函数内部总共执行了两次语句。
36000	39000	哼哼,我果然是个天才。
39000	43000	我们再看一下旁边的函数FUNC2,
43000	46000	它内部主要有五条语句,
46000	49000	如果调用一次函数FUNC2的话,
49000	52000	这五条语句分别执行了一次。
52000	55000	现在可以暂停视频想一想。
58000	63000	答案是,一共执行了3xn加3次。
63000	67000	现在可以暂停视频对比一下你刚才算出来的结果。
70000	73000	可能有些小伙伴不知道为什么是这个结果,
73000	76000	我们现在来分析一下执行步骤。
76000	78000	首先执行的是,
78000	81000	声明整形变量i并且初始化为0,
81000	83000	执行次数加1。
83000	86000	现在i保存的就是0。
86000	89000	接着执行的是判断,
89000	91000	执行次数加1。
91000	94000	由于0小于2是成立的,
94000	96000	所以接着执行输出语句,
96000	98000	执行次数加1。
98000	100000	接着执行的是判断,
100000	102000	执行次数加1。
102000	104000	所以接着执行输出语句,
104000	106000	执行次数加1。
107000	109000	循环体内执行完之后,
109000	111000	就会执行i自增1,
111000	113000	i保存的值变成了1。
113000	115000	执行次数加1。
115000	117000	接着执行的是判断,
117000	119000	执行次数加1。
119000	121000	由于1小于2是成立的,
121000	124000	所以接着执行输出语句,
124000	126000	执行次数加1。
126000	128000	然后执行i自增1,
128000	130000	i保存的值变成了2。
130000	132000	执行次数加1。
134000	136000	接着执行的是判断,
136000	138000	执行次数加1。
138000	140000	由于2小于2是不成立的,
140000	142000	所以跳出FOR循环,
142000	144000	执行率特0,
144000	146000	执行次数加1。
146000	148000	因此,当n负值为2的时候,
148000	150000	总共执行了9次。
151000	153000	根据刚才的假设,
153000	155000	FOR的第一部分,
155000	157000	无论n是多少,
157000	159000	执行次数都是1。
159000	161000	第二部分和循环体,
161000	163000	执行的次数都是n。
163000	165000	而FOR的判断条件,
165000	168000	由于在判断了n次成立情况之后,
168000	171000	还需要再判断一次不成立的情况,
171000	175000	所以执行次数是n加1。
176000	179000	Return 0肯定是执行一次,
179000	184000	所以总的执行次数就是3n加3次。
184000	186000	如果刚才没有理解的话,
186000	188000	可以在您视频理解一下。
191000	195000	一段代码的总执行次数会用tn表示,
195000	197000	也就是这样子,
197000	199000	n是输入数据的大小,
199000	201000	或者是输入数据的数量,
201000	204000	而t是在输入数量为n的时候,
204000	207000	这一段代码的总执行次数,
207000	210000	现在可以在您视频理解一下。
211000	212000	但是,
212000	215000	作为衡量代码的执行速度的依据,
215000	217000	当代码比较多的时候,
217000	219000	使用tn就有点麻烦了,
219000	222000	我们还要一条条语句去数,
222000	223000	而且,
223000	225000	函数调用函数的时候,
225000	227000	运算起来也很麻烦,
227000	228000	所以,
228000	231000	算法一般使用tn简化的估算值,
231000	234000	来衡量代码执行的速度,
234000	238000	这个简化的估算值叫做时间复杂度。
239000	243000	接下来讲解tn如何得出时间复杂度,
243000	246000	如果tn等于一个常数的话,
246000	249000	那么时间复杂度可以直接估算为1,
249000	254000	因此tn等于2的时间复杂度就是1,
254000	257000	现在可以在您视频理解一下。
260000	261000	接下来,
261000	265000	如果常数乘以n再加上常数的话,
265000	269000	我们可以直接去掉加号后面的常数,
269000	271000	因为随着n的增大,
271000	273000	第一部分越来越大,
273000	275000	而第二部分保持不变,
275000	280000	也就导致了第二部分相对于第一部分相当于不存在,
280000	283000	所以可以直接省略。
285000	286000	然后,
286000	289000	第一部分的常数可以直接估算为1,
289000	294000	也可以直接理解为去掉这个作为系数的常数,
294000	297000	所以它的时间复杂度就是n,
297000	303000	因此tn等于3n加3的时间复杂度就是n,
303000	306000	现在可以暂停视频理解一下。
310000	311000	接着,
311000	312000	对于多项式,
312000	315000	我们只需要保留n的最高次项,
315000	319000	也就是保留n的次方数最大的那一项。
319000	321000	在这条多项式里面,
321000	325000	保留的就是5乘1n的三次方,
325000	327000	因为随着n的增大,
327000	332000	后面的项的增长远远不及n的最高次项大,
332000	335000	所以可以直接省略第四项,
335000	338000	接着系数5也要去掉,
338000	342000	因此时间复杂度就是n的三次方,
342000	344000	现在可以暂停视频理解一下。
344000	347000	这样表示时间复杂度并不完整,
347000	350000	我们还需要加上大写字母O,
350000	352000	像这样子表示。
352000	354000	我们总结一下,
354000	357000	时间复杂度的表示方法就是,
357000	359000	如果tn是常数的话,
359000	362000	那么时间复杂度就是O1,
362000	365000	否则保留tn的最高次项,
365000	368000	并且去掉最高次项的系数,
368000	370000	现在可以暂停视频理解一下。
371000	374000	为了更快地求出时间复杂度,
374000	378000	我们接着来看一下一些常见代码的时间复杂度。
379000	382000	像函数Funk1这样没有循环,
382000	384000	就只有一条条的语句,
384000	386000	时间复杂度就是,
386000	388000	你们猜猜是多少。
390000	393000	根据多年来的编程经验告诉我,
393000	395000	它的时间复杂度就是,
395000	397000	我果然是个天才。
399000	400000	接下来,
400000	402000	像函数Funk2这样,
402000	404000	只有一重循环,
404000	406000	时间复杂度就是,
408000	409000	接着,
409000	412000	像函数Funk3这样的多重循环,
412000	414000	循环最里面的函数,
414000	417000	printf执行次数是1,
417000	418000	但是,
418000	420000	在里层上,
420000	422000	大约执行了n次,
422000	426000	也就是一共执行了大约1乘以n次。
426000	427000	然后,
427000	429000	就在外层循环的作用下,
429000	432000	里层循环大约执行了n次,
432000	438000	所以一共执行了大约1乘以n再乘以n次。
439000	440000	因此,
440000	442000	时间复杂度就是,
442000	444000	on的平方,
444000	448000	一共执行了1乘以n再乘以n次。
449000	451000	以此类推我们就可以确定,
451000	453000	有多少重循环,
453000	456000	时间复杂度就是n的多少次方。
458000	459000	接着,
459000	463000	像函数Funk4这样的有多个循环,
463000	465000	第一个是两重循环,
465000	468000	也就是大约执行了n平方次,
468000	470000	第二个是一重循环,
470000	472000	也就是大约执行了n次,
472000	475000	那么总的执行次数就是,
475000	477000	n平方加n次,
477000	480000	我们需要以运行时间最长的循环,
480000	482000	作为时间复杂度的依据,
482000	485000	因此这里的时间复杂度就是,
485000	487000	on平方。
489000	490000	接着,
490000	492000	如果加了if语句的话,
492000	494000	也就是分情况运行的话,
