start	end	text
0	4000	大家好,我是小谷银,这节课讲解时间复杂度,
4000	9000	时间复杂度定性的描述算法的运行时间。
9000	12000	接下来我们来看一下两个函数,
12000	17000	首先是函数FUNC1,函数FUNC1里面有两条语句,
17000	20000	如果调用一次函数FUNC1的话,
20000	25000	现在我们需要思考一下这两条语句分别会执行多少次。
25000	28000	根据多年来的编程经验告诉我,
28000	31000	这两条语句分别执行了一次,
31000	36000	也就是这个函数内部总共执行了两次语句。
36000	39000	哼哼,我果然是个天才。
39000	43000	我们再看一下旁边的函数FUNC2,
43000	46000	它内部主要有五条语句,
46000	49000	如果调用一次函数FUNC2的话,
49000	52000	这五条语句分别执行了一次。
52000	55000	现在可以暂停视频想一想。
58000	63000	答案是,一共执行了3xn加3次。
63000	67000	现在可以暂停视频对比一下你刚才算出来的结果。
70000	73000	可能有些小伙伴不知道为什么是这个结果,
73000	76000	我们现在来分析一下执行步骤。
76000	78000	首先执行的是,
78000	81000	声明整形变量i并且初始化为0,
81000	83000	执行次数加1。
83000	86000	现在i保存的就是0。
86000	89000	接着执行的是判断,
89000	91000	执行次数加1。
91000	94000	由于0小于2是成立的,
94000	96000	所以接着执行输出语句,
96000	98000	执行次数加1。
98000	100000	接着执行的是判断,
100000	102000	执行次数加1。
102000	104000	所以接着执行输出语句,
104000	106000	执行次数加1。
107000	109000	循环体内执行完之后,
109000	111000	就会执行i自增1,
111000	113000	i保存的值变成了1。
113000	115000	执行次数加1。
115000	117000	接着执行的是判断,
117000	119000	执行次数加1。
119000	121000	由于1小于2是成立的,
121000	124000	所以接着执行输出语句,
124000	126000	执行次数加1。
126000	128000	然后执行i自增1,
128000	130000	i保存的值变成了2。
130000	132000	执行次数加1。
134000	136000	接着执行的是判断,
136000	138000	执行次数加1。
138000	140000	由于2小于2是不成立的,
140000	142000	所以跳出FOR循环,
142000	144000	执行率特0,
144000	146000	执行次数加1。
146000	148000	因此,当n负值为2的时候,
148000	150000	总共执行了9次。
151000	153000	根据刚才的假设,
153000	155000	FOR的第一部分,
155000	157000	无论n是多少,
157000	159000	执行次数都是1。
159000	161000	第二部分和循环体,
161000	163000	执行的次数都是n。
163000	165000	而FOR的判断条件,
165000	168000	由于在判断了n次成立情况之后,
168000	171000	还需要再判断一次不成立的情况,
171000	174000	所以执行次数是n加1。
176000	179000	Return 0肯定是执行一次,
179000	183000	所以总的执行次数就是3n加3次。
183000	185000	如果刚才没有理解的话,
185000	187000	现在可以在您视频理解一下。
190000	193000	一段代码的总执行次数,
193000	195000	会用tn表示,
195000	197000	也就是这样子,
197000	199000	n是输入数据的大小,
199000	201000	或者是输入数据的数量。
201000	203000	而t是,
203000	205000	在输入数量为n的时候,
205000	207000	这一段代码的总执行次数,
207000	209000	现在可以在您视频理解一下。
212000	214000	但是,
214000	216000	作为衡量代码的执行速度的依据,
216000	218000	当代码比较多的时候,
218000	220000	使用tn就有点麻烦了,
220000	222000	我们还要一条条语句去数。
222000	224000	而且,
224000	226000	函数调用函数的时候,
226000	228000	运算起来也很麻烦。
228000	230000	所以,
230000	232000	算法一般使用tn简化的估算值,
232000	234000	来衡量代码执行的速度。
234000	236000	这个简化的估算值,
236000	238000	叫做时间复杂度。
240000	243000	接下来讲解tn如何得出时间复杂度。
243000	246000	如果tn等于一个常数的话,
246000	249000	那么时间复杂度可以直接估算为1,
249000	254000	因此tn等于2的时间复杂度就是1。
254000	256000	现在可以在您视频理解一下。
260000	262000	接下来,
262000	265000	如果常数乘以n再加上常数的话,
265000	268000	我们可以直接去掉加号后面的常数。
268000	270000	因为,
270000	272000	随着n的中大,
272000	274000	第一部分越来越大,
274000	276000	第二部分保持不变,
276000	281000	也就导致了第二部分相对于第一部分相当于不存在,
281000	283000	所以可以直接省略。
285000	287000	然后,
287000	290000	第一部分的常数可以直接估算为1,
290000	294000	也可以直接理解为去掉这个作为系数的常数。
294000	296000	所以,
296000	298000	它的时间复杂度就是n。
298000	300000	因此,
300000	303000	tn等于3n加3的时间复杂度就是n。
303000	305000	现在可以暂停视频理解一下。
309000	310000	接着,
310000	311000	对于多项式,
311000	314000	我们只需要保留n的最高次项,
314000	318000	也就是保留n的次方数最大的那一项。
318000	320000	在这条多项式里面,
320000	324000	保留的就是5乘以n的三次方,
324000	326000	因为随着n的中大,
326000	331000	后面的项的中长远远不及n的最高次项大,
331000	334000	所以可以直接省略第一次项。
334000	335000	接着,
335000	337000	系数5也要去掉。
337000	338000	因此,
338000	341000	时间复杂度就是n的三次方。
341000	343000	现在可以暂停视频理解一下。
347000	350000	这样表示时间复杂度并不完整,
350000	353000	我们还需要加上大写字母O,
353000	355000	像这样子表示。
355000	357000	我们总结一下,
357000	360000	时间复杂度的表示方法就是,
360000	363000	如果tn是常数的话,
363000	365000	那么时间复杂度就是O1,
365000	366000	否则,
366000	368000	保留tn的最高次项,
368000	371000	并且去掉最高次项的系数。
371000	373000	现在可以暂停视频理解一下。
377000	379000	为了更快地求出时间复杂度,
379000	383000	我们接着来看一下一些常见代码的时间复杂度。
384000	387000	像函数func1这样没有循环,
387000	389000	就只有一条条的语句,
389000	391000	时间复杂度就是,
391000	393000	你们猜猜是多少?
395000	397000	根据多年来的编程经验告诉我,
397000	400000	它的时间复杂度就是O1,
400000	402000	我果然是个天才。
405000	406000	接下来,
406000	408000	像函数func2这样,
408000	410000	只有一种循环,
410000	412000	时间复杂度就是on。
414000	415000	接着,
415000	418000	像函数func3这样的多重循环,
418000	423000	循环最里面的函数printf执行次数是1,
423000	424000	但是,
424000	426000	在里程循环的作用下,
426000	428000	大约执行了n次,
428000	432000	也就是一共执行了大约1xn次。
432000	433000	然后,
433000	435000	就在外程循环的作用下,
435000	438000	里程循环大约执行了n次,
438000	443000	所以一共执行了大约1xn再乘以n次。
445000	446000	因此,
446000	449000	时间复杂度就是on的平方,
449000	452000	以此类推我们就可以确定,
452000	453000	有多少重循环,
453000	456000	时间复杂度就是n的多少次方。
458000	459000	接着,
459000	463000	像函数func4这样的有多个循环,
463000	465000	第一个是两重循环,
465000	468000	也就是大约执行了n平方次,
468000	470000	第二个是一重循环,
470000	472000	也就是大约执行了n次,
473000	478000	那么总的执行次数就是n平方加n次,
478000	481000	我们需要以运行时间最长的循环,
481000	483000	作为时间复杂度的依据,
483000	484000	因此,
484000	488000	这里的时间复杂度就是on平方。
490000	491000	接着,
491000	493000	如果加了if语句的话,
