start	end	text
0	2000	那些焦虑的人
2000	4000	应该停下来
4000	6000	问问自己
6000	8000	在奔流不息的浪潮中
8000	10000	究竟深处何地
12000	14000	有人行走巅峰
14000	16000	有人随波逐流
16000	18000	也有人中流积水
18000	20000	成为抵住
20000	22000	抵住不是平庸
22000	24000	是共识的自信
24000	26000	是时间的基石
26000	28000	是让我们
28000	30000	本有的力量
30000	32000	他们说
32000	34000	我们都是普通人
34000	36000	不是战士
36000	38000	也不是斗士
38000	40000	可是
40000	42000	当黑暗来临
42000	44000	没有人
44000	46000	可以独善其身
46000	48000	不能独自担忧
48000	50000	不能独自恐惧
50000	52000	于是
52000	54000	我们和未知斗争
54000	56000	我们和自私斗争
56000	58000	我们和谣言与歧视斗争
60000	62000	最重要的是此刻
62000	64000	我们背靠背在一起
64000	66000	这是一个普通人的
66000	68000	绝地反击
68000	70000	也是一个民族
70000	72000	从黑暗到光明的
72000	74000	伟大历程
74000	76000	所谓抵住
76000	78000	是内心的相信
78000	80000	相信时代
80000	82000	相信自己
82000	84000	相信成就更好的力量
86000	88000	他们说何必去冒险
88000	90000	人生
90000	92000	还有很多选择
92000	94000	我见过海拔八千米的壮命
94000	96000	我经历过
96000	98000	极力的严寒风雪
98000	100000	我也在登顶成功后
100000	102000	痛苦流涕
102000	104000	我更见过生命的渺小
104000	106000	人性的伟大
106000	108000	越是这样
108000	110000	我越热爱生命
110000	112000	越珍惜平静的时光
112000	114000	世间所有的选择
114000	116000	都不是为了去征途
116000	118000	而是为了去享受征途
120000	122000	所谓抵住
122000	124000	是内心的热爱
124000	126000	热爱生命
126000	128000	热爱时间
128000	130000	热爱内心真挚的力量
132000	134000	他们说
134000	136000	能到中年不要意想天台
136000	138000	安于现状
138000	140000	难道不是对生命的辜负
140000	142000	退去年少时的浮躁
142000	145000	今天的梦想不是仙衣怒马
145000	147000	而是内心的笃定
147000	149000	从容
149000	151000	向往震撼与伟大
152000	154000	频繁的个体
154000	156000	才能凝聚出物凡
156000	158000	用生活书写日心月意
158000	160000	以时间雕刻内心尺度
160000	162000	一如所有耕耘者
162000	164000	用城市注入蓬勃力量
164000	166000	创造更多可能
166000	168000	所谓抵住
168000	170000	是内心的劲道
170000	172000	所谓抵住是内心的坚定
172000	174000	坚定信念
174000	176000	坚定抉择
176000	178000	坚定持之以恒的力量
178000	180000	主浪万千
180000	182000	始于中流
182000	184000	在奔流不息的浪潮中
184000	186000	我们或许一辈子
186000	188000	都不曾登上地狱
188000	190000	我们可能尽了全力
190000	192000	也赶不上浪潮
192000	194000	但是
194000	196000	每个人
196000	198000	都是自己的抵住
198000	200000	是一粒孤岛的中间
200000	202000	奔流不息
202000	204000	抵住当然
